game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,game_name,links,global_sales
Battlefield: Bad Company 2 Vietnam,2010-12-18,86,8.1,8,490207,2673,43,0,451,18,194,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,18,0,0,36,11,11, Battlefield: Bad Company 2 Vietnam,http://www.vgchartz.com/gamedb/?name=+Battlefield%3A+Bad+Company+2+Vietnam,NA
Assassin's Creed II,2010-03-09,86,6.9,7,303661,1698,24,0,500,22,1652,"Action Adventure, Historic, Historic, Open-World",M,21,1,0,95,31,31, Assassin's Creed II,http://www.vgchartz.com/game/33563/assassins-creed-ii/,0.55
"Warhammer 40,000: Dawn of War II - Chaos Rising",2010-03-10,85,8.7,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Warhammer 40,http://www.vgchartz.com/game/20078/warhammer-40000-dawn-of-war-ii/,0.47
Fallout: New Vegas,2010-10-19,84,8.6,NA,0,0,0,0,0,39,2870,"Role-Playing, Action RPG, First-Person, First-Person, Western-Style",M,36,3,0,404,85,85, Fallout: New Vegas,http://www.vgchartz.com/game/33664/fallout-new-vegas/,1.17
Just Cause 2,2010-03-23,84,7.7,3,652,10,0,0,1,33,847,"Action Adventure, Modern, Modern, Open-World",M,31,2,0,131,44,44, Just Cause 2,http://www.vgchartz.com/game/24233/just-cause-2/,0.13
Shatter,2010-03-15,84,7.4,2,9619,81,2,0,37,13,72,"Action, General, General",E,13,0,0,10,4,4,Shatter,http://www.vgchartz.com/gamedb/?name=Shatter,0
FIFA Soccer 11,2010-09-28,83,7.7,9,3593102,16826,613,0,3716,16,102,"Sports, Traditional, Team, Soccer, Sim, Sim",E,13,3,0,18,1,1, FIFA Soccer 11,http://www.vgchartz.com/game/43326/fifa-soccer-11/,0.18
Darksiders,2010-09-22,83,7.8,8,79560,623,13,0,179,18,615,"Action Adventure, Modern, Fantasy, Modern, Open-World",M,18,0,0,102,21,21, Darksiders,http://www.vgchartz.com/game/44396/darksiders/,0.15
Age of Conan: Rise of the Godslayer,2010-05-11,83,8.4,1,17011,144,3,0,92,14,52,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",M,13,1,0,6,0,0, Age of Conan: Rise of the Godslayer,http://www.vgchartz.com/game/38351/age-of-conan-rise-of-the-godslayer/,0.03
Tom Clancy's Splinter Cell: Conviction,2010-04-27,83,5.3,NA,0,0,0,0,0,20,680,"Action Adventure, Modern, General, Modern",M,16,4,0,39,24,24, Tom Clancy's Splinter Cell: Conviction,http://www.vgchartz.com/game/14891/tom-clancys-splinter-cell-conviction/,0.11
Bejeweled 3,2010-12-07,82,8.1,NA,0,0,0,0,0,27,88,"Miscellaneous, Puzzle, Puzzle, Puzzle, Matching, Matching",E,25,2,0,10,1,1, Bejeweled 3,http://www.vgchartz.com/game/48328/bejeweled-3/,0.09
Dragon Age: Origins - Awakening,2010-03-16,82,7.8,NA,0,0,0,0,0,38,418,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",M,36,2,0,18,18,18, Dragon Age: Origins,http://www.vgchartz.com/game/33504/dragon-age-origins/,0.51
Lara Croft and the Guardian of Light,2010-09-28,82,8.1,1,6391,62,0,0,23,13,160,"Action Adventure, Adventure, General, General",T,11,2,0,30,5,5,Lara Croft and the Guardian of Light,http://www.vgchartz.com/gamedb/?name=Lara+Croft+and+the+Guardian+of+Light,0
Recettear: An Item Shop's Tale,2010-09-10,82,8.6,2,6282,64,1,0,11,12,156,"Miscellaneous, Virtual Life",NA,10,2,0,30,11,11,Recettear: An Item Shop's Tale,http://www.vgchartz.com/gamedb/?name=Recettear%3A+An+Item+Shop's+Tale,0
Divinity II: The Dragon Knight Saga,2010-11-05,82,8.2,NA,0,0,0,0,0,9,197,"Role-Playing, Miscellaneous, Action RPG, Compilation",M,8,1,0,40,6,6,Divinity II: The Dragon Knight Saga,http://www.vgchartz.com/gamedb/?name=Divinity+II%3A+The+Dragon+Knight+Saga,0
VVVVVV,2010-01-11,81,8,NA,0,0,0,0,0,15,224,"Action, Platformer, Platformer, 2D, 2D",NA,13,2,0,41,13,13,VVVVVV,http://www.vgchartz.com/gamedb/?name=VVVVVV,0
Metro 2033,2010-03-16,81,8.1,NA,0,0,0,0,0,40,1495,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,34,6,0,213,71,71, Metro 2033,http://www.vgchartz.com/game/40227/metro-2033/,0.24
Napoleon: Total War,2010-02-23,81,7.9,NA,0,0,0,0,0,56,524,"Strategy, Real-Time, Historic, General, Historic",T,49,6,1,35,12,12, Napoleon: Total War,http://www.vgchartz.com/game/37881/napoleon-total-war/,0.67
Call of Duty: Black Ops,2010-11-09,81,5.2,36,499380,4730,92,0,1191,29,1665,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",M,20,9,0,136,96,96, Call of Duty: Black Ops,http://www.vgchartz.com/game/44950/call-of-duty-black-ops/,1.63
S.T.A.L.K.E.R.: Call of Pripyat,2010-02-02,80,8.7,NA,0,0,0,0,0,44,632,"Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade",M,36,8,0,62,13,13, S.T.A.L.K.E.R.: Call of Pripyat,http://www.vgchartz.com/game/34014/stalker-call-of-pripyat/,0.06
Revenge of the Titans,2010-05-24,79,7.6,2,2718555,28637,571,0,1541,11,82,"Strategy, Real-Time, Fantasy, Fantasy",NA,10,1,0,10,10,10, Revenge of the Titans,http://www.vgchartz.com/game/49183/revenge-of-the-titans/,0
Cart Life,2010-07-29,79,5.9,2,45398,181,10,0,43,8,19,"Simulation, General",NA,7,1,0,2,2,2,Cart Life,http://www.vgchartz.com/gamedb/?name=Cart+Life,0
Worms Reloaded,2010-08-26,79,6.8,2,84,0,0,0,0,28,186,"Strategy, Turn-Based, General, Wargame, General, Fantasy, Artillery",E10+,24,4,0,19,14,14, Worms Reloaded,http://www.vgchartz.com/game/46480/worms-reloaded/,0.05
Puzzle Dimension,2010-06-21,79,7.6,17,358565,2787,32,0,350,9,34,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",E,6,3,0,3,1,1,Puzzle Dimension,http://www.vgchartz.com/gamedb/?name=Puzzle+Dimension,0
Split/Second,2010-05-18,79,8.1,1,4920,63,0,0,4,18,117,"Driving, Racing, General, General",E10+,16,2,0,8,1,1, Split/Second,http://www.vgchartz.com/game/32538/splitsecond/,0.04
The Settlers 7: Paths to a Kingdom,2010-03-23,79,5.2,NA,0,0,0,0,0,33,215,"Strategy, City Building, Management, Historic, Historic, Government",E10+,28,5,0,16,8,8, The Settlers 7: Paths to a Kingdom,http://www.vgchartz.com/game/42083/the-settlers-7-paths-to-a-kingdom/,0.31
Dead Rising 2,2010-09-27,78,6.4,3,75110,498,14,0,98,17,209,"Action Adventure, Horror, Horror, Open-World",M,14,3,0,26,13,13, Dead Rising 2,http://www.vgchartz.com/game/31568/dead-rising-2/,0.14
King's Bounty: Crossworlds,2010-09-17,78,8.5,NA,0,0,0,0,0,13,84,"Strategy, Turn-Based, Fantasy, General, Fantasy",T,9,4,0,4,1,1,King's Bounty: Crossworlds,http://www.vgchartz.com/gamedb/?name=King's+Bounty%3A+Crossworlds,0
Mafia II,2010-08-23,77,7.9,14,367816,2337,36,0,528,46,1277,"Action Adventure, Historic, General, Historic, Open-World",M,35,9,2,120,68,68, Mafia II,http://www.vgchartz.com/game/21856/mafia-ii/,0.4
Zeno Clash,2010-02-07,77,7.9,NA,0,0,0,0,0,41,294,"Action, Adventure, Shooter, 3D, First-Person, Fantasy, Sci-Fi",T,26,15,0,39,25,25,Zeno Clash,http://www.vgchartz.com/gamedb/?name=Zeno+Clash,0
Alien Swarm,2010-07-19,77,8.2,13,34685,203,9,0,30,11,418,"Action, Shooter, Shooter, Third-Person, Tactical, Modern",NA,8,3,0,52,18,18, Alien Swarm,http://www.vgchartz.com/gamedb/?name=+Alien+Swarm,NA
Supreme Commander 2,2010-03-01,77,6.2,1,48241,236,3,0,83,54,807,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",E10+,37,16,1,45,14,14, Supreme Commander 2,http://www.vgchartz.com/game/34946/supreme-commander-2/,0.19
Lost Horizon,2010-09-24,77,7.8,NA,0,0,0,0,0,24,29,"Adventure, General, Third-Person, General, Point-and-Click, Modern",T,17,7,0,3,0,0, Lost Horizon,http://www.vgchartz.com/game/38757/lost-horizon/,0.11
Singularity,2010-06-29,76,7.7,18,237276,1457,20,0,312,36,332,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,24,12,0,43,17,17, Singularity,http://www.vgchartz.com/game/32430/singularity/,0.05
Heroes of Newerth,2010-05-12,76,7.3,3,31399,273,9,0,75,12,226,"Strategy, Real-Time, Fantasy, MOBA, MOBA",NA,7,5,0,28,14,14,Heroes of Newerth,http://www.vgchartz.com/gamedb/?name=Heroes+of+Newerth,0
R.U.S.E.,2010-09-07,76,8,2,2202,10,1,0,7,33,179,"Strategy, Real-Time, Historic, General, Historic",T,21,12,0,48,7,7, R.U.S.E.,http://www.vgchartz.com/game/32917/ruse/,0.27
Serious Sam HD: The Second Encounter,2010-04-28,76,8,1,28123,258,7,0,61,20,146,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,11,9,0,13,4,4,Serious Sam HD: The Second Encounter,http://www.vgchartz.com/gamedb/?name=Serious+Sam+HD%3A+The+Second+Encounter,0
Victoria II,2010-08-13,75,8.2,NA,0,0,0,0,0,17,137,"Strategy, Real-Time, Historic",T,10,7,0,20,7,7, Victoria II,http://www.vgchartz.com/game/38883/victoria-ii/,0
Prince of Persia: The Forgotten Sands,2010-06-08,75,6.6,NA,0,0,0,0,0,16,223,"Action Adventure, Fantasy, General, Fantasy",T,9,7,0,15,9,9, Prince of Persia: The Forgotten Sands,http://www.vgchartz.com/game/41864/prince-of-persia-the-forgotten-sands/,0.03
Left 4 Dead 2: The Passing,2010-04-22,75,8,3,8575,68,1,0,22,8,70,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Tactical",M,6,2,0,4,1,1, Left 4 Dead 2,http://www.vgchartz.com/game/35022/left-4-dead-2/,0.36
Transformers: War for Cybertron,2010-06-22,75,7.9,41,15462035,73101,2839,0,7786,20,156,"Action Adventure, Sci-Fi, Sci-Fi, General",T,12,8,0,17,5,5,Transformers: War for Cybertron,NA,NA
Dark Fall 3: Lost Souls,2010-04-21,75,7.2,2,21379,196,4,0,64,8,29,"Adventure, 3D, First-Person, Modern, Modern",NA,4,4,0,1,3,3, Dark Fall 3: Lost Souls,http://www.vgchartz.com/game/32874/dark-fall-3-lost-souls/,0.01
Back to the Future: The Game - Episode I: It's About Time,2010-12-22,74,7.1,1,29965,103,6,0,16,39,98,"Action Adventure, Adventure, Sci-Fi, Sci-Fi, 3D, Third-Person",NA,23,13,3,15,7,7, Back to the Future: The Game - Episode I: It's About Time,http://www.vgchartz.com/gamedb/?name=+Back+to+the+Future%3A+The+Game+-+Episode+I%3A+It's+About+Time,NA
Disney/Pixar Toy Story 3,2010-06-15,73,6.3,1,4482,46,1,0,8,7,11,"Action, General, General",E10+,5,2,0,0,0,0,Disney/Pixar Toy Story 3,http://www.vgchartz.com/gamedb/?name=Disney/Pixar+Toy+Story+3,NA
ArmA II: Operation Arrowhead,2010-06-29,73,8.1,1,2269,28,1,0,22,29,192,"Action, Shooter, Shooter, First-Person, Modern, Modern",M,14,14,1,28,6,6, ArmA II,http://www.vgchartz.com/game/31777/arma-ii/,0.14
Alpha Protocol,2010-06-01,72,7.5,NA,0,0,0,0,0,25,517,"Role-Playing, Console-style RPG, Console-style RPG, Western-Style",M,11,13,1,91,36,36, Alpha Protocol,http://www.vgchartz.com/game/29906/alpha-protocol/,0.03
Medal of Honor,2010-10-12,72,6.4,5,48415,313,15,0,70,26,520,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,16,9,1,63,49,49, Medal of Honor,http://www.vgchartz.com/game/41327/medal-of-honor/,0.49
Divinity II: Ego Draconis,2010-01-05,72,7.8,NA,0,0,0,0,0,43,127,"Role-Playing, Action RPG, Action RPG",M,21,22,0,21,4,4, Divinity II: Ego Draconis,http://www.vgchartz.com/game/39321/divinity-ii-ego-draconis/,0.07
Flotilla,2010-02-26,72,7.3,3,77031,373,6,0,55,7,14,"Strategy, Turn-Based, Sci-Fi",NA,2,5,0,3,1,1,Flotilla,http://www.vgchartz.com/gamedb/?name=Flotilla,0
Poker Night at the Inventory,2010-11-22,71,7,31,1056142,6384,116,0,1304,11,110,"Miscellaneous, Parlor, Gambling, Gambling",E10+,5,6,0,14,15,15,Poker Night at the Inventory,http://www.vgchartz.com/gamedb/?name=Poker+Night+at+the+Inventory,0
Europa Universalis III: Divine Wind,2010-12-14,71,8.7,NA,0,0,0,0,0,9,38,"Strategy, General, General",E10+,5,4,0,3,3,3, Europa Universalis III,http://www.vgchartz.com/game/17392/europa-universalis-iii/,0.01
Max & the Magic Marker,2010-02-08,71,5.7,24,251410,1528,48,0,346,11,6,"Action, Platformer, Platformer, 2D, 2D",E,5,6,0,1,0,0,Max & the Magic Marker,http://www.vgchartz.com/gamedb/?name=Max+&+the+Magic+Marker,0
Mass Effect 2: Kasumi - Stolen Memory,2010-04-06,71,7.3,3,109005,460,18,0,73,13,91,"Role-Playing, Action RPG, Action RPG",M,6,7,0,6,1,1, Mass Effect 2,http://www.vgchartz.com/game/28816/mass-effect-2/,0.39
Evochron Mercenary,2010-09-17,70,7.7,NA,0,0,0,0,0,7,63,"Simulation, Sci-Fi, Space, Small Spaceship, Combat",NA,4,3,0,23,5,5,Evochron Mercenary,http://www.vgchartz.com/gamedb/?name=Evochron+Mercenary,0
Puzzle Agent,2010-06-30,70,7,7,192391,1286,72,0,311,24,76,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",NA,8,16,0,3,9,9,Puzzle Agent,http://www.vgchartz.com/gamedb/?name=Puzzle+Agent,0
Cities XL 2011,2010-10-14,70,5.7,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Cities XL 2011,http://www.vgchartz.com/game/57334/cities-xl-2011/,0.02
LEGO Universe,2010-10-26,70,8,3,2628,30,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LEGO Universe,http://www.vgchartz.com/gamedb/?name=LEGO+Universe,0
Portal 2,2011-04-18,95,9,1,58,1,0,0,0,52,6016,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",E10+,51,1,0,NA,105,105, Portal 2,http://www.vgchartz.com/game/43865/portal-2/,0.76
The Elder Scrolls V: Skyrim,2011-11-10,94,8.2,1,103,0,0,0,0,32,9275,"Role-Playing, First-Person, First-Person, Western-Style",M,32,0,0,NA,312,312, The Elder Scrolls V: Skyrim,http://www.vgchartz.com/game/49111/the-elder-scrolls-v-skyrim/,3.95
Batman: Arkham City,2011-11-21,91,8.7,1,40838,839,22,0,193,27,1871,"Action Adventure, Fantasy, Fantasy, Open-World",T,27,0,0,226,33,33, Batman: Arkham City,http://www.vgchartz.com/game/41801/batman-arkham-city/,0.53
Deus Ex: Human Revolution,2011-08-23,90,8.5,4,183549,1812,41,0,56,52,3119,"Action, Action Adventure, Shooter, Sci-Fi, Sci-Fi, General, First-Person, Sci-Fi",M,52,0,0,513,112,112, Deus Ex: Human Revolution,http://www.vgchartz.com/game/43322/deus-ex-human-revolution/,0.59
Total War: Shogun 2,2011-03-15,90,8.4,NA,0,0,0,0,0,62,1189,"Strategy, Turn-Based, Historic, General, Historic",T,62,0,0,187,43,43, Total War: Shogun 2,http://www.vgchartz.com/game/45921/total-war-shogun-2/,0.6
FIFA Soccer 12,2011-09-27,89,7.1,1,40838,839,22,0,193,14,280,"Sports, Traditional, Team, Soccer, Sim, Sim",E,14,0,0,33,7,7,FIFA Soccer 12,NA,NA
Battlefield 3,2011-10-25,89,7.5,2,1720,23,2,0,9,61,4934,"Action, Shooter, Shooter, First-Person, Modern, Tactical, Modern, Arcade",M,60,1,0,NA,192,192, Battlefield 3,http://www.vgchartz.com/game/35315/battlefield-3/,2.78
LIMBO,2011-08-02,88,8.1,NA,0,0,0,0,0,22,1437,"Action, Platformer, Platformer, 2D, 2D",T,22,0,0,171,58,58, LIMBO,http://www.vgchartz.com/game/52775/limbo/,0
Assassin's Creed: Brotherhood,2011-03-22,88,8.2,1,1049,18,1,0,1,24,1127,"Action Adventure, Historic, Historic, Open-World",M,24,0,0,91,33,33, Assassin's Creed: Brotherhood,http://www.vgchartz.com/game/45055/assassins-creed-brotherhood/,0.6
The Witcher 2: Assassins of Kings,2011-05-17,88,8.5,5,84294,491,14,0,186,76,4435,"Role-Playing, Action RPG, Action RPG",M,70,6,0,NA,121,121, The Witcher 2: Assassins of Kings,http://www.vgchartz.com/game/39247/the-witcher-2-assassins-of-kings/,0.97
Dead Space 2,2011-01-25,87,8.4,21,4270895,68255,1466,0,15121,28,1004,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",M,27,1,0,122,30,30, Dead Space 2,http://www.vgchartz.com/game/36807/dead-space-2/,0.32
Bastion,2011-08-16,86,8.6,37,207008,1583,30,0,534,17,1381,"Action, Role-Playing, General, Action RPG, Action RPG",E10+,16,1,0,294,47,47, Bastion,http://www.vgchartz.com/gamedb/?name=+Bastion,NA
Crysis 2,2011-03-22,86,6.8,2,90257,628,13,0,185,42,1620,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,39,3,0,197,116,116, Crysis 2,http://www.vgchartz.com/game/35003/crysis-2/,0.74
DiRT 3,2011-05-23,86,7,9,397876,1731,48,0,394,23,447,"Driving, Racing, Simulation, Rally / Offroad, Rally / Offroad, Automobile",T,21,2,0,44,29,29, DiRT 3,http://www.vgchartz.com/game/44026/dirt-3/,0.15
Battlefield 3: Back to Karkand,2011-12-13,86,7.2,1,134,1,0,0,0,9,160,"Action, Shooter, Shooter, First-Person, Modern, Tactical, Modern, Arcade",M,8,1,0,22,8,8, Battlefield 3: Back to Karkand,http://www.vgchartz.com/gamedb/?name=+Battlefield+3%3A+Back+to+Karkand,NA
Amnesia: The Dark Descent,2011-02-17,85,8.7,NA,0,0,0,0,0,44,1235,"Action Adventure, Horror, Horror, Survival",M,42,2,0,287,29,29, Amnesia: The Dark Descent,http://www.vgchartz.com/gamedb/?name=+Amnesia%3A+The+Dark+Descent,NA
Frozen Synapse,2011-05-26,85,7.7,3,6019,47,1,0,7,27,194,"Strategy, Turn-Based, General, Modern, Tactics",NA,24,3,0,43,6,6,Frozen Synapse,http://www.vgchartz.com/gamedb/?name=Frozen+Synapse,0
Star Wars: The Old Republic,2011-12-20,85,5.9,NA,0,0,0,0,0,73,2658,"Sci-Fi, Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi",T,68,5,0,645,215,215, Star Wars: The Old Republic,http://www.vgchartz.com/game/31584/star-wars-the-old-republic/,2.97
Saints Row: The Third,2011-11-14,84,8.1,NA,0,0,0,0,0,22,1287,"Action Adventure, Modern, Modern, Open-World",M,20,2,0,209,62,62, Saints Row: The Third,http://www.vgchartz.com/game/33323/saints-row-the-third/,0.39
Super Street Fighter IV: Arcade Edition,2011-07-07,84,7.8,1,4198,41,1,0,7,11,153,"Action, Fighting, Fighting, 3D, 2D, 3D",T,10,1,0,18,3,3,Super Street Fighter IV: Arcade Edition,NA,0.13
Unity of Command,2011-11-15,84,7.2,1,40838,839,22,0,193,7,61,"Strategy, Turn-Based, Historic",RP,7,0,0,12,9,9,Unity of Command,http://www.vgchartz.com/gamedb/?name=Unity+of+Command,NA
The Binding of Isaac,2011-09-28,84,8.4,NA,0,0,0,0,0,30,1019,"Action, Action Adventure, Shooter, Horror, Horror, Shooter, Static, Shoot-'Em-Up, Top-Down",NA,28,2,0,196,36,36, The Binding of Isaac,http://www.vgchartz.com/game/70545/the-binding-of-isaac/,0.03
Trine 2,2011-12-07,84,8.4,8,347702,3231,51,0,219,55,667,"Action, Platformer, Platformer, 2D, 2D",E10+,51,4,0,79,14,14, Trine 2,http://www.vgchartz.com/game/45564/trine-2/,0.04
Rift,2011-03-01,84,7.2,1,40838,839,22,0,193,59,565,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",T,56,3,0,121,50,50,Rift,NA,NA
Shift 2: Unleashed,2011-03-29,84,6.2,NA,0,0,0,0,0,24,241,"Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",E10+,23,1,0,31,14,14,Shift 2: Unleashed,http://www.vgchartz.com/gamedb/?name=Shift+2%3A+Unleashed,NA
Anno 2070,2011-11-17,83,7.1,3,3282,71,0,0,21,33,497,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",T,29,4,0,70,27,27, Anno 2070,http://www.vgchartz.com/game/50771/anno-2070/,1.43
Orcs Must Die!,2011-10-11,83,8.1,3,985811,5235,86,0,3709,25,460,"Action, General, General",T,22,3,0,93,19,19,Orcs Must Die!,http://www.vgchartz.com/gamedb/?name=Orcs+Must+Die!,0
Terraria,2011-05-16,83,8.6,15,366298,2193,29,0,470,29,1625,"Action, Action Adventure, Platformer, Platformer, Sandbox, 2D, 2D",T,25,4,0,468,53,53, Terraria,http://www.vgchartz.com/game/51349/terraria/,0.15
L.A. Noire: The Complete Edition,2011-11-08,83,7.9,31,2195394,10583,223,0,2190,28,932,"Adventure, 3D, Modern, Third-Person, Modern",M,23,5,0,99,48,48, L.A. Noire: The Complete Edition,http://www.vgchartz.com/game/68416/la-noire-the-complete-edition/,0.26
The Book of Unwritten Tales,2011-10-28,82,8.2,25,502371,2996,66,0,576,32,146,"Adventure, General, General",T,28,4,0,31,4,4, The Book of Unwritten Tales,http://www.vgchartz.com/game/32485/the-book-of-unwritten-tales/,0.1
Gemini Rue,2011-02-24,82,8.4,15,458760,2848,49,0,368,24,195,"Adventure, General, Third-Person, General, Point-and-Click, Sci-Fi",NA,21,3,0,41,6,6,Gemini Rue,http://www.vgchartz.com/gamedb/?name=Gemini+Rue,0
Dragon Age II,2011-03-08,82,4.5,14,529926,3748,41,0,1046,45,4524,"Role-Playing, PC-style RPG, Action RPG",M,38,7,0,356,281,281, Dragon Age II,http://www.vgchartz.com/game/44010/dragon-age-ii/,0.63
Bulletstorm,2011-02-21,82,7.7,8,14758,184,9,0,68,34,778,"General, Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,30,4,0,108,37,37, Bulletstorm,http://www.vgchartz.com/game/44607/bulletstorm/,0.16
Rochard,2011-11-15,81,8,3,157,20,0,0,7,16,125,"Action, Adventure, General, Platformer, Platformer, 2D, 2D",T,14,2,0,23,6,6,Rochard,http://www.vgchartz.com/gamedb/?name=Rochard,NA
Jamestown: Legend of the Lost Colony,2011-06-08,81,7.5,6,220151,998,27,0,231,20,130,"Action, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Vertical",NA,17,3,0,30,9,9,Jamestown: Legend of the Lost Colony,http://www.vgchartz.com/gamedb/?name=Jamestown%3A+Legend+of+the+Lost+Colony,0
TrackMania 2 Canyon,2011-09-14,81,7.7,NA,0,0,0,0,0,37,100,"Driving, Racing, Arcade, Arcade, Automobile",E,30,7,0,11,3,3, TrackMania,http://www.vgchartz.com/game/37665/trackmania/,0
Dungeon Defenders,2011-10-18,81,7.3,14,3946609,18660,645,0,3925,26,402,"Role-Playing, Action RPG, Action RPG",E10+,21,5,0,83,28,28, Dungeon Defenders,http://www.vgchartz.com/game/47246/dungeon-defenders/,0.02
Dead Island,2011-09-05,80,6.9,3,286865,1633,13,0,291,24,1437,"Action Adventure, Horror, Horror, Survival",M,18,6,0,195,97,97, Dead Island,http://www.vgchartz.com/game/18477/dead-island/,0.22
Assassin's Creed: Revelations,2011-11-29,80,7.4,1,126,17,0,0,3,20,796,"Action Adventure, Historic, Historic, Open-World",M,15,5,0,51,48,48, Assassin's Creed: Revelations,http://www.vgchartz.com/game/51140/assassins-creed-revelations/,0.75
World of Tanks,2011-04-12,80,3.7,5,4546,55,4,0,2,38,1485,"First-Person, Modern, Action, Shooter, Shooter, Third-Person, Tactical, Historic, Historic",T,29,9,0,96,45,45, World of Tanks,http://www.vgchartz.com/game/50608/world-of-tanks/,0.29
"Warhammer 40,000: Dawn of War II - Retribution",2011-02-28,80,7.8,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Warhammer 40,http://www.vgchartz.com/game/20078/warhammer-40000-dawn-of-war-ii/,0.47
Panzer Corps,2011-07-11,80,7.5,5,117085,703,11,0,86,12,71,"Strategy, Turn-Based, Real-Time, Wargame, Real-Time, General, Tactics",NA,10,2,0,22,0,0,Panzer Corps,http://www.vgchartz.com/gamedb/?name=Panzer+Corps,NA
Driver: San Francisco,2011-09-27,80,7.1,1,22,5,0,0,0,11,337,"Driving, Racing, Mission-based, Arcade, Mission-based, Automobile",T,10,1,0,35,12,12, Driver: San Francisco,http://www.vgchartz.com/game/45791/driver-san-francisco/,0.19
Bloodline Champions,2011-01-13,79,8,7,53468,573,22,0,147,13,88,"Action, Strategy, General, Real-Time, MOBA",NA,12,1,0,23,9,9, Blood,http://www.vgchartz.com/game/23337/blood/,NA
Dungeons of Dredmor,2011-07-13,79,7.8,NA,0,0,0,0,0,18,205,"Role-Playing, General, General, Roguelike",NA,13,5,0,46,19,19, Dungeons,http://www.vgchartz.com/game/46740/dungeons/,0.09
Rage,2011-10-03,79,5.2,4,115101,1047,13,0,239,32,1611,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,24,7,1,208,139,139, Rage,http://www.vgchartz.com/game/25457/rage/,0.37
The Sims 3: Pets,2011-10-18,79,6,3,164180,1792,57,0,345,18,68,"Simulation, Miscellaneous, Virtual Life, Virtual, Virtual Life",T,13,5,0,5,2,2, The Sims 3,http://www.vgchartz.com/game/17805/the-sims-3/,8.02
Two Worlds II: Pirates of the Flying Fortress,2011-09-30,78,7.5,NA,0,0,0,0,0,9,33,"Role-Playing, Third-Person, Third-Person, General, Action RPG",M,8,0,1,8,2,2, Two Worlds II,http://www.vgchartz.com/game/46625/two-worlds-ii/,0.2
Call of Duty: Modern Warfare 3,2011-11-08,78,2.6,24,485414,3285,56,0,603,26,5225,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,19,7,0,345,167,167, Call of Duty: Modern Warfare 3,http://www.vgchartz.com/game/44604/call-of-duty-modern-warfare-3/,1.72
Tropico 4,2011-08-30,78,7.7,2,50789,379,8,0,45,46,363,"Strategy, Tycoon, Management, Tycoon, Government",T,32,14,0,44,24,24, Tropico 4,http://www.vgchartz.com/game/46767/tropico-4/,0.27
Sonic Generations,2011-11-03,77,8.3,14,216409,1380,34,0,577,11,343,"Action, Platformer, Platformer, 3D, 3D",E,8,3,0,88,17,17, Sonic Generations,http://www.vgchartz.com/game/67113/sonic-generations/,0.11
Section 8: Prejudice,2011-05-04,77,7.8,8,107532,498,25,0,114,22,105,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",T,18,4,0,29,14,14, Section 8,http://www.vgchartz.com/game/31787/section-8/,0.04
