game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,game_name,links,global_sales
Kane & Lynch: Dead Men,2007-11-20,67,6,NA,0,0,0,0,0,24,243,"Action, Shooter, Shooter, Third-Person, Tactical, Modern, Modern",M,6,17,1,24,12,12, Kane & Lynch: Dead Men,http://www.vgchartz.com/game/12252/kane-amp-lynch-dead-men/,0
Team Fortress 2,2008-04-08,92,9.1,NA,0,0,0,0,0,17,6019,"Action, Shooter, Shooter, First-Person, Modern, Tactical, Modern",M,17,0,0,NA,70,70, Team Fortress 2,http://www.vgchartz.com/game/14233/team-fortress-2/,0
World of Warcraft: Wrath of the Lich King,2008-11-13,91,7.5,NA,0,0,0,0,0,47,952,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",T,47,0,0,61,23,23, World of Warcraft: Wrath of the Lich King,http://www.vgchartz.com/game/13834/world-of-warcraft-wrath-of-the-lich-king/,1.32
Fallout 3,2008-10-28,91,7.9,NA,0,0,0,0,0,48,3548,"Role-Playing, First-Person, First-Person, Western-Style",M,45,3,0,432,116,116, Fallout 3,http://www.vgchartz.com/game/13869/fallout-3/,0.98
World of Goo,2008-10-12,90,8.5,NA,0,0,0,0,0,26,616,"Miscellaneous, Puzzle, Action, Puzzle, General, Puzzle, General",E,26,0,0,58,12,12, World of Goo,http://www.vgchartz.com/game/17684/world-of-goo/,0.04
Portal,2008-04-08,90,9.3,NA,0,0,0,0,0,27,4216,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",T,27,0,0,760,43,43, Portal,http://www.vgchartz.com/game/12414/portal/,0.01
Grand Theft Auto IV,2008-12-02,90,6.6,NA,0,0,0,0,0,40,2348,"Action Adventure, Modern, Modern, Open-World",M,38,2,0,189,89,89, Grand Theft Auto IV,http://www.vgchartz.com/game/25503/grand-theft-auto-iv/,0.88
Left 4 Dead,2008-11-18,89,9.2,NA,0,0,0,0,0,58,3752,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,57,1,0,421,59,59, Left 4 Dead,http://www.vgchartz.com/game/21979/left-4-dead/,0.02
GRID,2008-06-03,87,7.9,2,4571,46,1,0,8,25,468,"Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",E,24,1,0,76,18,18, GRID,http://www.vgchartz.com/game/21864/grid/,0.04
Sins of a Solar Empire,2008-02-04,87,8.2,NA,0,0,0,0,0,52,276,"Strategy, Real-Time, Sci-Fi, Sci-Fi",T,51,1,0,78,10,10, Sins of a Solar Empire,http://www.vgchartz.com/game/15876/sins-of-a-solar-empire/,0.03
